"","ear","threshold","sd","n/a","subj"
"1",2,67.83333333,1.46249406,NA,"x00"
"2",1,66.16666667,0.68718427,NA,"x00"
"3",2,66.5,0.95742711,NA,"x00"
"4",1,65.83333333,0.68718427,NA,"x00"
"5",2,31.33333333,1.24721913,NA,"x01"
"6",1,10.33333333,1.97202659,NA,"x01"
"7",2,30.33333333,0.74535599,NA,"x01"
"8",1,10.83333333,0.89752747,NA,"x01"
"9",2,55.5,1.25830574,NA,"x02"
"10",1,27,1.15470054,NA,"x02"
"11",2,55.66666667,0.94280904,NA,"x02"
"12",1,28.33333333,1.1055416,NA,"x02"
"13",1,NA,0,NA,"x03"
"14",2,NA,0,NA,"x03"
"15",2,NA,0,NA,"x03"
"16",1,NA,0,NA,"x03"
"17",1,NA,0,NA,"x04"
"18",2,62.5,1.70782513,NA,"x04"
"19",1,NA,0,NA,"x04"
"20",2,61.5,1.38443731,NA,"x04"
"21",2,NA,0,NA,"x05"
"22",1,NA,0,NA,"x05"
"23",2,NA,0,NA,"x05"
"24",1,NA,0,NA,"x05"
"25",1,56.66666667,0.74535599,NA,"x06"
"26",2,NA,0,NA,"x06"
"27",2,67,2.7080128,NA,"x06"
"28",1,56.33333333,0.74535599,NA,"x06"
"29",1,55.66666667,1.24721913,NA,"x06"
"30",1,61.5,1.89296945,NA,"x07"
"31",2,51.16666667,1.06718737,NA,"x07"
"32",2,50.5,1.5,NA,"x07"
"33",1,58,0.81649658,NA,"x07"
"34",1,35.5,0.95742711,NA,"x08"
"35",2,26.33333333,1.37436854,NA,"x08"
"36",1,39.5,0.5,NA,"x08"
"37",2,24.83333333,1.06718737,NA,"x08"
"38",1,35,0.81649658,NA,"x09"
"39",2,36,0.81649658,NA,"x09"
"40",2,36.33333333,1.24721913,NA,"x09"
"41",1,36.83333333,1.06718737,NA,"x09"
"42",1,NA,0,NA,"x10"
"43",2,NA,0,NA,"x10"
"44",2,35.33333333,1.1055416,NA,"x11"
"45",1,47.16666667,2.40947205,NA,"x11"
"46",2,33.83333333,1.57233019,NA,"x11"
"47",1,45.66666667,1.69967317,NA,"x11"
"48",2,NA,0,NA,"x12"
"49",1,NA,0,NA,"x12"
"50",1,NA,0,NA,"x12"
"51",2,NA,0,NA,"x12"
"52",1,NA,0,NA,"x13"
"53",2,67,3.46410162,NA,"x13"
"54",1,NA,0,NA,"x13"
"55",2,NA,0,NA,"x13"
"56",2,36,1.29099445,NA,"x14"
"57",1,30,1.63299316,NA,"x14"
"58",1,35.16666667,1.06718737,NA,"x14"
"59",2,40.5,0.95742711,NA,"x14"
"60",1,38.83333333,0.68718427,NA,"x15"
"61",2,51.5,0.95742711,NA,"x15"
"62",2,48.33333333,0.74535599,NA,"x15"
"63",1,37.66666667,1.49071198,NA,"x15"
"64",2,18.83333333,1.06718737,NA,"x16"
"65",1,25.66666667,1.69967317,NA,"x16"
"66",2,22,1.82574186,NA,"x16"
"67",1,17.16666667,1.77169097,NA,"x16"
"68",1,50.5,1.5,NA,"x17"
"69",2,33,2.44948974,NA,"x17"
"70",2,35.16666667,0.68718427,NA,"x17"
"71",1,53.83333333,0.68718427,NA,"x17"
"72",2,43.83333333,1.46249406,NA,"x18"
"73",1,50.16666667,1.06718737,NA,"x18"
"74",1,49.66666667,0.94280904,NA,"x18"
"75",2,42.66666667,1.59861051,NA,"x18"
"76",2,41.33333333,1.1055416,NA,"x18"
"77",2,41.66666667,1.1055416,NA,"x18"
"78",2,NA,0,NA,"x19"
"79",1,NA,0,NA,"x19"
"80",1,67,2,NA,"x19"
"81",2,67.83333333,2.79384244,NA,"x19"
"82",1,45.33333333,1.1055416,NA,"x20"
"83",2,42.5,1.70782513,NA,"x20"
"84",2,45.83333333,1.06718737,NA,"x20"
"85",1,50.5,1.97905701,NA,"x20"
"86",2,45,0.81649658,NA,"x20"
"87",2,46.33333333,1.1055416,NA,"x20"
"88",2,67.66666667,0.74535599,NA,"x21"
"89",1,69.5,0.5,NA,"x21"
"90",2,64.5,0.95742711,NA,"x21"
"91",1,62.5,0.5,NA,"x21"
"92",2,NA,0,NA,"x22"
"93",1,60.66666667,2.62466929,NA,"x22"
"94",2,68.83333333,1.06718737,NA,"x22"
"95",1,57,1.41421356,NA,"x22"
"96",2,NA,0,NA,"x23"
"97",1,NA,0,NA,"x23"
"98",2,NA,0,NA,"x23"
"99",1,NA,0,NA,"x23"
"100",1,NA,0,NA,"x24"
"101",2,56.33333333,0.94280904,NA,"x24"
"102",2,53.16666667,1.06718737,NA,"x24"
"103",1,64.5,2.36290781,NA,"x24"
"104",1,31,1.15470054,NA,"x25"
"105",2,36.5,0.95742711,NA,"x25"
"106",2,34.83333333,1.06718737,NA,"x25"
"107",1,32.83333333,1.06718737,NA,"x25"
"108",2,56,2.081666,NA,"x26"
"109",1,NA,0,NA,"x26"
"110",1,64.5,1.5,NA,"x26"
"111",2,50,1.29099445,NA,"x26"
"112",2,69.5,0.5,NA,"x27"
"113",1,54.66666667,0.74535599,NA,"x27"
"114",2,60.66666667,1.24721913,NA,"x27"
"115",1,55.83333333,1.77169097,NA,"x27"
"116",1,36.33333333,0.74535599,NA,"x28"
"117",2,40.5,0.5,NA,"x28"
"118",2,42.33333333,0.74535599,NA,"x28"
"119",1,39.83333333,1.06718737,NA,"x28"
"120",1,38.66666667,0.74535599,NA,"x29"
"121",2,36,0.81649658,NA,"x29"
"122",1,31.66666667,1.59861051,NA,"x29"
"123",2,33,1.63299316,NA,"x29"
"124",2,51.5,0.5,NA,"x30"
"125",1,50.66666667,1.49071198,NA,"x30"
"126",2,47.16666667,1.57233019,NA,"x30"
"127",1,51.83333333,1.06718737,NA,"x30"
"128",2,63.16666667,4.66964191,NA,"x31"
"129",1,NA,0,NA,"x31"
"130",1,48.33333333,0.94280904,NA,"x31"
"131",2,57.66666667,1.49071198,NA,"x31"
